uid,split,qc_flags,n_components,n_gingiva_instances
high/gummy19_JPG,holdout,zenith_detection_failed,1,1
high/IMG_6803_jpg,holdout,,1,1
high/IMG_6436-_jpg,dev,zenith_detection_failed,1,1
high/IMG_7375_jpg,holdout,zenith_detection_failed,1,1
high/IMG_2796_jpg,dev,,1,1
high/IMG_8581_jpg,dev,,1,1
high/IMG_6876-_jpg,dev,frame_uncertain,1,1
high/IMG_6896_jpg,dev,zenith_detection_failed,1,1
high/IMG_3117_jpg,dev,,1,1
high/IMG_2550_jpeg,dev,,1,1
high/IMG_6806_jpg,dev,,1,1
high/IMG_6946_jpg,dev,,1,1
high/IMG_2749-_jpg,dev,frame_uncertain,1,1
high/IMG_2616_jpg,dev,,1,1
high/gummy21_JPG,dev,zenith_detection_failed,1,1
high/IMG_3172_jpg,holdout,,1,1
high/IMG_6942_jpg,dev,,1,1
high/IMG_2522-_jpg,dev,,1,1
high/IMG_3827-_jpg,dev,,1,1
high/IMG_2918_jpg,dev,zenith_detection_failed,1,1
high/IMG_8607_jpg,dev,frame_uncertain,1,1
high/IMG_6773_jpg,dev,zenith_detection_failed,1,1
high/IMG_8552_jpg,dev,,1,1
high/IMG_8587_jpg,dev,,1,1
high/IMG_6905_jpg,dev,,1,1
high/IMG_2641_jpg,dev,,1,1
high/IMG_8611_jpg,holdout,zenith_detection_failed,1,1
high/IMG_6791_jpg,dev,,1,1
high/IMG_7322_jpg,holdout,,1,1
high/IMG_6900_jpg,dev,,1,1
high/IMG_7323_jpg,holdout,,1,1
high/IMG_7024_jpg,dev,,1,1
high/IMG_8577_jpg,holdout,,1,1
high/IMG_7350_jpg,holdout,,1,1
high/IMG_8560_jpg,dev,,1,1
high/IMG_2969_jpg,holdout,,1,1
high/IMG_6868-_jpg,holdout,,1,1
high/IMG_2675_jpg,dev,,1,1
high/IMG_3684-_jpg,holdout,,1,1
high/IMG_3858-_jpg,dev,,1,1
high/IMG_8606_jpg,dev,frame_uncertain,1,1
high/IMG_7276_jpg,dev,frame_uncertain,1,1
high/IMG_3570_jpg,dev,"festoon_detection_failed,zenith_detection_failed",1,1
high/IMG_8633_jpg,holdout,,1,1
high/IMG_8593_jpg,dev,,1,1
high/IMG_7309_jpg,dev,,1,1
high/IMG_3693-_jpg,dev,,1,1
high/IMG_7289_jpg,holdout,frame_uncertain,1,1
high/IMG_3800-_jpg,holdout,zenith_detection_failed,1,1
high/IMG_3595-_jpg,holdout,,1,1
high/IMG_3792-_jpg,holdout,,1,1
high/IMG_3552_jpg,holdout,,1,1
high/IMG_6907_jpg,dev,,1,1
high/IMG_2739-_jpg,holdout,,1,1
high/gummy30_JPG,dev,"festoon_detection_failed,zenith_detection_failed",1,1
high/IMG_3866-_jpg,dev,,1,1
high/IMG_6488-_jpg,holdout,,1,1
high/IMG_2761-_jpg,dev,frame_uncertain,1,1
high/IMG_6931_jpg,dev,,1,1
high/IMG_6703_jpg,dev,,1,1
high/IMG_8579_jpg,dev,zenith_detection_failed,1,1
high/IMG_6617-_jpg,dev,frame_uncertain,1,1
high/IMG_7280_jpg,holdout,,1,1
high/IMG_2862_jpg,dev,,1,1
high/IMG_2773_jpg,holdout,frame_uncertain,1,1
high/IMG_8609_jpg,holdout,frame_uncertain,1,1
high/IMG_7314_jpg,dev,frame_uncertain,1,1
high/IMG_6545-_jpg,holdout,frame_uncertain,1,1
high/IMG_7036_jpg,holdout,frame_uncertain,1,1
high/IMG_2736-_jpg,holdout,frame_uncertain,1,1
high/IMG_2947_jpg,dev,,1,1
high/IMG_2821_jpg,dev,,1,1
high/IMG_7278_jpg,holdout,,1,1
high/IMG_3785-_jpg,dev,,1,1
high/IMG_7352_jpg,holdout,,1,1
high/IMG_6748_jpg,dev,,1,1
high/IMG_3160_jpg,dev,,1,1
high/IMG_6726_jpg,holdout,,1,1
high/IMG_7291_jpg,dev,,1,1
high/gummy15_JPG,holdout,,1,1
high/IMG_2910_jpg,dev,zenith_detection_failed,1,1
high/IMG_2711-_jpg,dev,zenith_detection_failed,1,1
high/IMG_2456_jpeg,holdout,,1,1
high/IMG_6399-_jpg,dev,,1,1
high/IMG_6764_jpg,dev,,1,1
high/IMG_8554_jpg,dev,,1,1
high/IMG_7285_jpg,dev,,1,1
